City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Capelinha,BR,-17.6914,-42.5158,81.73,40,2,9.33,clear sky
79,Shingu,JP,33.7333,135.9833,50.99,87,99,7.58,overcast clouds
80,Cape Town,ZA,-33.9258,18.4232,65.91,78,20,12.66,few clouds
81,Tura,IN,25.5198,90.2201,72.39,89,18,7.85,few clouds
82,Bredasdorp,ZA,-34.5322,20.0403,62.17,88,50,4.56,scattered clouds
83,Sitka,US,57.0531,-135.33,40.89,81,100,27.63,moderate rain
84,Te Anau,NZ,-45.4167,167.7167,45.81,80,58,0.72,broken clouds
85,Troitsko-Pechorsk,RU,62.7084,56.1964,25.36,96,100,9.84,snow
86,Dongsheng,CN,39.8161,109.9776,44.67,36,12,6.44,few clouds
87,Adrar,MR,20.5022,-10.0711,92.82,8,0,16.98,clear sky
88,Pevek,RU,69.7008,170.3133,-21.95,96,19,3.33,few clouds
89,Saint-Augustin,CA,51.226,-58.6502,36.09,99,98,18.19,overcast clouds
90,Puerto Ayora,EC,-0.7393,-90.3518,85.96,76,89,10.16,light rain
91,Airai,TL,-8.9266,125.4092,57.22,80,65,1.43,broken clouds
92,Lebu,CL,-37.6167,-73.65,57.02,61,5,14.72,clear sky
93,Mocuba,MZ,-16.8392,36.9856,72.64,95,52,4.27,broken clouds
94,Dapaong,TG,10.8639,0.205,79.95,63,95,7.9,moderate rain
95,Itarema,BR,-2.9248,-39.9167,82.78,77,52,11.74,light rain
96,Mar Del Plata,AR,-38.0023,-57.5575,75.22,61,20,21.99,few clouds
97,Itaituba,BR,-4.2761,-55.9836,78.96,89,75,4.61,broken clouds
98,Cascais,PT,38.6979,-9.4215,64.26,41,20,23.02,few clouds
99,Iquitos,PE,-3.7481,-73.2472,77.04,78,75,2.3,broken clouds
100,Ponta Delgada,PT,37.7333,-25.6667,63.32,67,20,14.97,few clouds
101,Kibondo,TZ,-3.5864,30.7203,64.72,85,82,2.44,broken clouds
102,Diego De Almagro,CL,-26.3667,-70.05,81.1,15,0,11.74,clear sky
103,Sohagpur,IN,22.7,78.2,86.68,14,0,6.38,clear sky
104,Hovd,MN,48.0056,91.6419,42.64,30,57,5.37,broken clouds
105,Ntungamo,UG,-0.8833,29.65,69.57,68,37,4.03,scattered clouds
106,Porto Velho,BR,-8.7619,-63.9039,82.45,69,75,2.3,broken clouds
107,Vao,NC,-22.6667,167.4833,79.0,88,93,21.14,overcast clouds
108,Puerto Quijarro,BO,-17.7833,-57.7667,92.86,43,25,6.98,scattered clouds
109,Esperance,AU,-33.8667,121.9,64.24,90,100,7.4,overcast clouds
110,Aranos,NA,-24.1333,19.1167,77.05,21,53,12.5,broken clouds
111,Faya,SA,18.3851,42.4509,69.91,34,7,3.65,clear sky
112,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,77,21,11.9,few clouds
113,Upernavik,GL,72.7868,-56.1549,20.44,81,70,3.2,broken clouds
