City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Road Town,VG,84.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
164,Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
178,Samarai,PG,80.71,overcast clouds,-10.6167,150.6667,Nuli Sapi
182,Santa Cruz,BO,84.25,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
185,Bocas Del Toro,PA,82.17,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
186,Tadine,NC,79.21,overcast clouds,-21.55,167.8833,
188,Auki,SB,76.69,overcast clouds,-8.7676,160.7034,Auki Motel
193,Panacan,PH,79.43,overcast clouds,9.2463,118.4082,Mom's Place Resort
194,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
195,Senanga,ZM,73.99,overcast clouds,-16.1167,23.2667,Zango lodge
198,Iguaba Grande,BR,84.24,broken clouds,-22.8392,-42.2289,Hostel Iguabella - RJ
199,Yeppoon,AU,69.58,clear sky,-23.1333,150.7333,Villa Mar Colina
200,Virginia Beach,US,70.05,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
203,Karratha,AU,81.66,clear sky,-20.7377,116.8463,ibis Styles Karratha
205,Davila,PH,76.69,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
208,Kahului,US,73.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
215,Axim,GH,82.62,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
218,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
220,Port Shepstone,ZA,74.12,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
222,Ambovombe,MG,73.87,clear sky,-25.1667,46.0833,RELAHARA
230,Hithadhoo,MV,83.53,scattered clouds,-0.6,73.0833,Scoop Guest House
231,Palora,EC,78.91,light rain,-1.7,-77.9333,Rancho grande
232,Kyenjojo,UG,68.7,overcast clouds,0.6328,30.6214,Tropical Gardens
239,Ishigaki,JP,68.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
244,Isangel,VU,80.04,overcast clouds,-19.55,169.2667,Tanna Lodge
249,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
252,Noumea,NC,82.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
253,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
256,Bengkulu,ID,76.96,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
259,Saint-Philippe,RE,74.79,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
260,Sembe,CG,72.37,light rain,1.6481,14.5806,
262,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
264,Hurghada,EG,80.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
265,Taft,IR,71.55,few clouds,31.7471,54.2088,عمارت ساعتی تفت
266,Saint-Joseph,RE,73.78,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
267,Lahaina,US,74.44,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
269,Victoria,HK,65.32,clear sky,22.2855,114.1577,Mini Hotel Central
274,Sorong,ID,78.55,broken clouds,-0.8833,131.25,Waigo Splash Hotel
275,Aitape,PG,77.45,overcast clouds,-3.1374,142.3475,
278,Saint George,US,70.79,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
287,Kaeo,NZ,66.33,scattered clouds,-35.1,173.7833,Bushido Lodge
291,Bani Walid,LY,66.04,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
292,Along,IN,66.4,overcast clouds,28.1667,94.7667,Hotel West
294,Vallenar,CL,82.9,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
295,Half Moon Bay,US,71.06,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
296,Iralaya,HN,83.77,few clouds,15.0,-83.2333,Iglesia morava renovada
297,Mollendo,PE,72.45,broken clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
299,Buenos Aires,AR,73.29,scattered clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
302,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
305,Villa Carlos Paz,AR,78.06,clear sky,-31.4241,-64.4978,Monte Carlo vcp
310,Saint-Pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
314,Meulaboh,ID,74.26,overcast clouds,4.1363,96.1285,Kost Pria
318,Dingle,PH,75.69,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
